A1,MED_E,EUR,SE	: 	17708 	16334 	14567 	15817 	15612 	14713 	14552 	14356 	13364 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,SI	: 	8568 	8314 	8185 	7765 	7256 	6876 	6123 	5833 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,SK	5549 	5325 	5116 	4836 	4328 	3508 	2976 	2556 	2178 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,TR	: 	: 	: 	: 	: 	: 	: 	3375 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,UK	: 	16568 b	14526 	14112 	13677 	14984 	17405 	15999 	15326 	: 	: 	13841 	12387 	10963 	10374 	8294 	7559 	7609 
A1,MED_E,NAC,AT	20199 p	19602 b	18802 	18365 	18000 	17360 	16835 	16585 	16831 	15542 	14331 	14491 	14391 	13212 	13226 	12318 	12495 	11984 
A1,MED_E,NAC,BE	: 	15886 	15662 	15807 	15873 	14617 	14053 	13800 	13575 	13160 	12607 	12791 	12345 	12282 	11899 	11825 	11160 	10709 
A1,MED_E,NAC,BG	: 	3601 	3355 	3470 	2921 	2387 	1814 	1788 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,CH	: 	44097 	42975 	43287 	43505 	42679 	42658 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,CY	13723 	13383 	13491 	12740 	13661 	7207 b	6172 	5510 	4856 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,CZ	155400 	150000 	143915 	142587 	132699 	125268 	117120 	108000 	102500 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,DE	: 	15831 	15671 	15697 	15894 	15580 	15195 	14884 	14772 	: 	: 	14248 	13896 	13334 	13549 	13369 	12834 	12271 
A1,MED_E,NAC,DK	159771 	155600 	151435 	147220 	143966 	137897 	134180 	128657 	126679 	124567 	122201 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,EE	4288 	4006 	3905 	3894 	3761 	3202 	2687 	2301 	1953 	1687 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,EL	: 	9050 	9130 	10000 	9836 	9600 	8700 	8700 	8150 	7430 	7000 	5804 	5572 	4990 	4634 	4574 	4271 	3669 
A1,MED_E,NAC,ES	12506 b	11400 	11100 	11200 	11127 	11130 	9890 	8796 	8400 	8190 	: 	7159 	6755 	6090 	5661 	5301 	5217 	4913 
A1,MED_E,NAC,FI	16949 	16384 	16046 	16057 	15261 	14234 	13790 	13328 	13162 	12550 	: 	10647 	10349 	10083 	9709 	9678 	9438 	: 
A1,MED_E,NAC,FR	: 	18703 	18271 	17765 	17989 	17283 	14814 	14398 	14272 	13649 	: 	13105 	12834 	12236 	12243 	11837 	11341 	11175 
A1,MED_E,NAC,HR	: 	29600 	28440 	30000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,HU	1189000 	1144760 	1095660 	1067719 	1056250 	972140 	900000 	814200 	770000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,IE	: 	14361 	14919 	14823 	15304 	15466 	14182 	12508 	11679 	10447 	9653 	7239 	6598 	6751 	5989 	5871 	5483 	5264 
A1,MED_E,NAC,IS	2681322 	2536907 	2377256 	2459814 	2470598 	2228775 	2043082 	1893092 	1563957 	1466439 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,IT	15035 	15078 	14972 	14684 	14186 	14002 	13472 	12823 	12382 	12012 	: 	9379 	9374 	9104 	8513 	8031 	8057 	7385 
A1,MED_E,NAC,LT	11846 	10711 	10191 	10623 	10320 	8994 	6840 	5754 	5040 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,LU	: 	33987 	31635 	32328 	32744 	31699 	30187 	29342 	29605 	29183 	26874 	23996 	22930 	21740 	21754 	20957 	20823 	18840 
A1,MED_E,NAC,LV	2225 	2171 	2206 	2140 	1925 	1605 	1295 	1000 	938 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,MT	: 	8970 	8706 	8198 	7973 	7294 	7113 	3059 	2733 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,NL	: 	17401 	17465 	17429 	17140 	16826 	15787 	15092 	15613 	: 	: 	13330 	13012 	12513 	11624 	11040 	10036 	9920 
A1,MED_E,NAC,NO	257388 	255093 	233620 	225931 	225584 	201395 	191511 	178243 	170326 	167598 	159216 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,PL	18550 	17714 	16600 	15819 	14925 	13760 	12638 	11915 	10804 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,PT	: 	7290 	7000 	6804 	6622 	6216 	5499 	5056 	4900 	4900 	: 	4170 	3763 	3492 	3149 	3083 	2848 	2640 
A1,MED_E,NAC,RO	: 	8004 	7932 	7415 	6754 	5293 	4280 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,SE	: 	159900 	155779 	154692 	152081 	144408 	136158 	135071 	130990 	121932 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,SI	: 	8568 	8314 	8185 	7765 	7256 	6876 	1466785 	1394523 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,SK	5549 	5325 	5116 	4836 	4328 	118478 	110796 	98640 	87160 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,TR	: 	: 	: 	: 	: 	: 	: 	5660 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,UK	: 	13434 b	12607 	12106 	12185 	11932 	11911 	10907 	10480 	: 	: 	8436 	8160 	7416 	7182 	6750 	6265 	5904 
A1,MED_E,PPS,AT	19149 p	18547 b	17893 	17021 	17070 	16930 	16515 	16182 	16296 	15046 	13856 	14958 	14207 	12418 	12457 	11594 	11319 	11068 
A1,MED_E,PPS,BE	: 	14495 	14214 	14075 	14375 	13608 	13050 	12970 	12720 	12353 	12423 	12779 	12068 	12380 	11955 	11822 	10685 	10372 
A1,MED_E,PPS,BG	: 	3774 	3432 	3461 	3037 	2679 	2067 	2114 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,CH	: 	21919 	21033 	20835 	21325 	20779 	20147 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,CY	15699 	15080 	15215 	14193 	15579 	14081 b	12217 	10752 	9373 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,CZ	8553 	8074 	7630 	7382 	7368 	7231 	6738 	6238 	5803 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,DE	: 	15518 	15138 	14676 	15354 	15323 	14809 	14413 	14103 	: 	: 	14303 	13336 	12461 	12667 	12259 	11686 	11091 
A1,MED_E,PPS,DK	15270 	14644 	14480 	13826 	13822 	13483 	13001 	12301 	12202 	11880 	12289 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,EE	5573 	5279 	5221 	5040 	4908 	4366 	3921 	3558 	3097 	2718 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,EL	: 	9573 	9664 	10532 	10803 	10695 	9770 	9858 	9304 	8652 	8729 	7408 	7335 	6337 	6091 	6258 	6080 	5520 
A1,MED_E,PPS,ES	13166 b	11771 	11497 	11465 	11705 	11988 	10778 	9655 	9236 	9269 	: 	8627 	8158 	7217 	6966 	6622 	6434 	6142 
A1,MED_E,PPS,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11758 e	11250 e	10543 e	10314 e	9846 e	9384 e	9075 e
A1,MED_E,PPS,FI	13922 	13408 	13184 	12945 	12645 	11905 	11238 	10784 	10633 	9914 	: 	9171 	8646 	8506 	8265 	8414 	8003 	: 
A1,MED_E,PPS,FR	: 	17052 	16595 	15827 	16246 	15997 	13649 	13307 	12981 	12410 	: 	12860 	12200 	11653 	11511 	10616 	10227 	10142 
A1,MED_E,PPS,HR	: 	5448 	5191 	5355 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,HU	6818 	6659 	6317 	6024 	6058 	5799 	5617 	5181 	4936 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,IE	: 	12186 	12604 	12167 	11995 	12220 	11390 	10090 	9368 	8281 	7672 	6715 	6387 	6829 	6504 	6214 	6141 	5836 
A1,MED_E,PPS,IS	15271 	14647 	13964 	14209 	16568 	17082 	16092 	15782 	13020 	12221 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,IT	14662 	14651 	14793 	14010 	13788 	13665 	12929 	12247 	11802 	11592 	: 	10588 	10837 	10291 	9572 	9163 	9198 	8720 
A1,MED_E,PPS,LT	5369 	4810 	4643 	4595 	4532 	4342 	3455 	3039 	2728 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,LU	: 	27559 	25863 	26598 	27870 	27625 	27112 	26294 	28737 	28267 	26323 	24884 	23494 	21276 	21567 	21316 	20593 	19101 
A1,MED_E,PPS,LV	4491 	4298 	4411 	3972 	3652 	3443 	3061 	2521 	2513 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,MT	: 	11439 	11244 	10506 	10305 	9667 	9512 	9518 	8739 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,NL	: 	16060 	16195 	16159 	16350 	16498 	15176 	14420 	14713 	: 	: 	13357 	13428 	13069 	12015 	11008 	9829 	9592 
A1,MED_E,PPS,NO	21682 	20888 	19405 	18571 	19625 	18276 	17028 	15822 	15053 	14737 	14025 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,PL	7815 	7337 	6882 	6288 	6150 	5892 	5195 	4850 	4484 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,PT	: 	8306 	8008 	7627 	7522 	7255 	6474 	5945 	5609 	5696 	: 	5771 	5162 	4821 	4379 	4289 	4001 	3868 
A1,MED_E,PPS,RO	: 	3209 	3282 	3039 	2920 	2490 	2107 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,SE	: 	14088 	13648 	13540 	13967 	13507 	12420 	12223 	11826 	10820 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,SI	: 	10087 	9659 	9310 	9432 	9200 	8969 	7986 	7675 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,SK	7881 	7532 	7282 	6610 	5993 	4950 	4202 	3563 	3070 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,TR	: 	: 	: 	: 	: 	: 	: 	5058 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,UK	: 	14217 b	13373 	13091 	14145 	14683 	15458 	14468 	13966 	: 	: 	11696 	11102 	10176 	9974 	9458 	8576 	8446 
A1,MEI_E,EUR,AT	22687 p	22155 b	21123 	20678 	20373 	19745 	19105 	17969 	19210 	17969 	16157 	15848 	15678 	15419 	14611 	14714 	14676 	14604 
A1,MEI_E,EUR,BE	: 	19325 	19851 	18619 	18879 	17435 	16454 	18230 	18968 	15347 	14946 	15317 	14520 	14620 	14352 	14465 	13945 	12889 
A1,MEI_E,EUR,BG	: 	2346 	2335 	2378 	2086 	1699 	1278 	1194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MEI_E,EUR,CH	: 	40334 	36361 	33367 	31620 	29894 	30595 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MEI_E,EUR,CY	17280 	16935 	17208 	16313 	17259 	16194 b	15296 	13623 	11637 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MEI_E,EUR,CZ	7360 	7347 	6952 	6425 	6568 	5451 	5145 	4580 	4026 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MEI_E,EUR,DE	: 	18596 	18197 	18884 	18306 	18168 	17730 	16503 	16877 	: 	: 	17182 	16252 	15408 	15219 	15864 	15605 	14422 
A1,MEI_E,EUR,DK	24927 	22369 	22243 	21094 	20303 	20318 	19789 	18999 	18415 	18197 	18192 	: 	: 	: 	: 	: 	: 	: 
A1,MEI_E,EUR,EA17	: 	18350 	18117 	18213 	17939 	17483 	16308 	15553 	15679 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MEI_E,EUR,EA18	: 	18274 	18039 	18139 	17864 	17411 	16240 	15485 	15607 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MEI_E,EUR,EE	6172 	5646 	5143 	5250 	5485 	4625 	3955 	3427 	2664 	2401 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MEI_E,EUR,EL	: 	10086 	11105 	11938 	11758 	11652 	10430 	10087 	9655 	8803 	8740 	7514 	7834 	6925 	6825 	6544 	6108 	5487 
A1,MEI_E,EUR,ES	14927 b	13464 	13323 	13327 	13371 	13224 	12098 	11608 	11068 	10195 	: 	9661 	9133 	8632 	8332 	8202 	7854 	7480 
A1,MEI_E,EUR,EU15	: 	18866 	18284 	18224 	17916 	18066 	17317 	16459 	16494 	: 	: 	14375 e	13582 e	12821 e	12446 e	11932 e	11455 e	11054 e
A1,MEI_E,EUR,EU27	: 	16878 	16459 	16371 	16107 	16135 	15406 	14560 e	14453 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MEI_E,EUR,EU28	: 	16810 	16392 	16306 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MEI_E,EUR,FI	19853 	19368 	19108 	18883 	18056 	17133 	16217 	15537 	15579 	14920 	: 	12696 	12073 	11640 	11392 	11483 	11200 	: 
A1,MEI_E,EUR,FR	: 	21857 	21741 	21374 	21419 	20235 	16710 	16560 	16606 	16143 	: 	14797 	14451 	13822 	13666 	13645 	13196 	12659 
A1,MEI_E,EUR,HR	: 	4595 	4618 	4817 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MEI_E,EUR,HU	4785 	4665 	4634 	4282 	4713 	4309 	3887 	4006 	3510 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MEI_E,EUR,IE	: 	19016 	19848 	19870 	21035 	23433 	20588 	18866 	17315 	15572 	14299 	11945 	10406 	10565 	10051 	9005 	8165 	8857 
A1,MEI_E,EUR,IS	18949 	17631 	16650 	16874 	20367 	29151 	27872 	28073 	22103 	20616 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MEI_E,EUR,IT	17377 	17550 	17420 	17178 	16684 	16342 	15941 	15011 	14796 	14260 	: 	10911 	10814 	10564 	10039 	8992 	8419 	8775 
A1,MEI_E,EUR,LT	4335 	3920 	3506 	3806 	4000 	3562 	2757 	2191 	1867 	: 	: 	: 	: 	: 	: 	: 	: 	: 
